"Date"	"Player"	"Reason"	"Amount"
"2025-12-15 11:47:01"	"Nexara"	"Withdrawal"	"-10"
"2025-12-15 11:43:16"	"Nexara"	"Withdrawal"	"-10"
"2025-12-15 10:35:48"	"Nexara"	"Deposit"	"4"
"2025-12-14 23:09:24"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-14 17:28:50"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-14 15:28:09"	"FizzyOrange"	"Deposit"	"40"
"2025-12-14 04:54:04"	"FizzyOrange"	"Deposit"	"10"
"2025-12-14 02:54:23"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-14 02:49:07"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-14 02:29:18"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-14 01:58:31"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-14 01:56:16"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-13 22:05:10"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-13 16:05:35"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-13 15:58:12"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-13 15:22:58"	"FizzyOrange"	"Deposit"	"59"
"2025-12-13 14:13:06"	"Nexara"	"Deposit"	"8"
"2025-12-13 12:54:50"	"Nexara"	"Deposit"	"13"
"2025-12-13 12:14:26"	"Nexara"	"Withdrawal"	"-8"
"2025-12-13 00:38:58"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-13 00:31:18"	"FizzyOrange"	"Withdrawal"	"-3"
"2025-12-13 00:14:25"	"Nexara"	"Deposit"	"7"
"2025-12-13 00:10:31"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-12 23:53:32"	"Nexara"	"Withdrawal"	"-10"
"2025-12-12 22:00:25"	"Nexara"	"Withdrawal"	"-10"
"2025-12-12 21:31:09"	"pandarea"	"Withdrawal"	"-10"
"2025-12-12 20:15:41"	"StrikeDestiny"	"Deposit"	"10"
"2025-12-12 13:06:33"	"StrikeDestiny"	"Deposit"	"10"
"2025-12-12 13:02:48"	"StrikeDestiny"	"Withdrawal"	"-10"
"2025-12-12 06:06:31"	"Nexara"	"Deposit"	"8"
"2025-12-12 04:59:29"	"Nexara"	"Withdrawal"	"-10"
"2025-12-12 02:38:41"	"Nexara"	"Withdrawal"	"-10"
"2025-12-11 23:46:17"	"Nexara"	"Withdrawal"	"-10"
"2025-12-11 18:44:46"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-11 18:22:54"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-11 14:20:03"	"RovenXii"	"Deposit"	"10"
"2025-12-11 14:09:30"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-11 13:58:32"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-11 13:23:15"	"Nexara"	"Withdrawal"	"-10"
"2025-12-11 13:15:51"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-11 12:19:59"	"Nexara"	"Withdrawal"	"-10"
"2025-12-11 11:56:07"	"RovenXii"	"Deposit"	"10"
"2025-12-11 11:22:11"	"RovenXii"	"Deposit"	"6"
"2025-12-11 11:08:49"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-11 04:16:10"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-11 02:54:31"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-11 02:54:29"	"kokos4o"	"Deposit"	"20"
"2025-12-11 02:52:16"	"Nexara"	"Withdrawal"	"-10"
"2025-12-11 02:33:17"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-11 01:50:34"	"Nexara"	"Withdrawal"	"-10"
"2025-12-11 01:25:46"	"Nexara"	"Withdrawal"	"-10"
"2025-12-10 23:27:48"	"pandarea"	"Withdrawal"	"-10"
"2025-12-10 23:03:02"	"Nexara"	"Withdrawal"	"-10"
"2025-12-10 22:53:19"	"Nexara"	"Withdrawal"	"-10"
"2025-12-10 21:11:52"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-10 21:11:17"	"Oxyjhin"	"Deposit"	"200"
"2025-12-10 21:10:24"	"GooglyMoogly0001"	"Withdrawal"	"-7"
"2025-12-09 22:54:31"	"RovenXii"	"Withdrawal"	"-3"
"2025-12-09 21:32:20"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-09 21:29:56"	"pandarea"	"Withdrawal"	"-10"
"2025-12-09 21:25:55"	"pandarea"	"Deposit"	"10"
"2025-12-09 21:21:40"	"RovenXii"	"Deposit"	"10"
"2025-12-09 20:39:55"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-09 20:39:38"	"pandarea"	"Withdrawal"	"-10"
"2025-12-09 20:39:07"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-09 20:37:10"	"darkinwhity"	"Withdrawal"	"-10"
"2025-12-09 19:32:23"	"RovenXii"	"Deposit"	"10"
"2025-12-09 19:08:30"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-09 15:34:22"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-09 14:06:45"	"kokos4o"	"Deposit"	"10"
"2025-12-09 13:19:50"	"kokos4o"	"Withdrawal"	"-10"
"2025-12-09 00:09:34"	"Oxyjhin"	"Deposit"	"10"
"2025-12-08 23:53:50"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-08 23:07:44"	"RovenXii"	"Deposit"	"10"
"2025-12-08 22:50:55"	"Oxyjhin"	"Deposit"	"10"
"2025-12-08 22:26:16"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-08 22:25:26"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-08 22:24:41"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-08 21:55:12"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-08 21:51:48"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-08 21:25:35"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-08 21:25:11"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-08 21:24:05"	"GooglyMoogly0001"	"Deposit"	"100"
"2025-12-08 21:21:55"	"GooglyMoogly0001"	"Withdrawal"	"-10"
"2025-12-08 20:46:59"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-08 20:38:52"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-08 20:06:56"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-08 18:11:24"	"Cotsh"	"Deposit"	"10"
"2025-12-08 11:53:05"	"RovenXii"	"Deposit"	"10"
"2025-12-08 11:49:07"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-08 01:20:13"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-08 01:19:03"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-08 00:24:13"	"FizzyOrange"	"Deposit"	"52"
"2025-12-08 00:03:41"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-07 23:21:59"	"FizzyOrange"	"Withdrawal"	"-10"
"2025-12-07 21:55:15"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-07 21:47:42"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-07 21:47:41"	"pandarea"	"Withdrawal"	"-10"
"2025-12-07 21:39:58"	"Nexara"	"Withdrawal"	"-10"
"2025-12-07 21:11:27"	"yourpapapa"	"Withdrawal"	"-10"
"2025-12-07 20:57:36"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-07 20:56:28"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-07 20:50:07"	"pandarea"	"Withdrawal"	"-10"
"2025-12-07 20:34:23"	"RovenXii"	"Withdrawal"	"-10"
"2025-12-07 20:33:46"	"Oxyjhin"	"Withdrawal"	"-10"
"2025-12-07 20:33:00"	"pandarea"	"Withdrawal"	"-10"
"2025-12-07 17:45:57"	"GooglyMoogly0001"	"Withdrawal"	"-8"
"2025-12-07 17:06:08"	"kokos4o"	"Deposit"	"10"
