DBN,Name,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,grade1,grade2,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per
26Q186,PS 186 CASTLEWOOD,20102011,23.2,367,1.4,27,63,52,57,51,52,NA,NA,NA,NA,NA,NA,NA,126,34.3,38,10.4,77,21,125,34.1,197,53.7,170,46.3
26Q186,PS 186 CASTLEWOOD,20112012,18.7,369,0.5,24.9,62,64,53,58,46,NA,NA,NA,NA,NA,NA,NA,116,31.4,46,12.5,82,22.2,124,33.6,197,53.4,172,46.6
26Q188,PS 188 KINGSBURY,20102011,24.7,551,4.4,8.7,98,79,77,100,83,NA,NA,NA,NA,NA,NA,NA,294,53.4,20,3.6,49,8.9,187,33.9,298,54.1,253,45.9
26Q188,PS 188 KINGSBURY,20112012,14.4,570,4.2,7.5,83,93,87,77,101,NA,NA,NA,NA,NA,NA,NA,302,53,19,3.3,50,8.8,198,34.7,284,49.8,286,50.2
26Q191,PS 191 MAYFLOWER,20102011,46.4,372,13.2,11.6,67,63,59,48,51,NA,NA,NA,NA,NA,NA,NA,267,71.8,15,4,31,8.3,56,15.1,202,54.3,170,45.7
26Q191,PS 191 MAYFLOWER,20112012,33.3,392,9.9,9.4,61,68,60,56,44,NA,NA,NA,NA,NA,NA,NA,281,71.7,16,4.1,38,9.7,53,13.5,205,52.3,187,47.7
26Q203,PS 203 OAKLAND GARDENS,20102011,40.9,816,8.1,11.9,130,137,123,112,134,NA,NA,NA,NA,NA,NA,NA,587,71.9,19,2.3,53,6.5,145,17.8,389,47.7,427,52.3
26Q203,PS 203 OAKLAND GARDENS,20112012,27.6,806,7.9,9.7,132,130,134,127,113,NA,NA,NA,NA,NA,NA,NA,577,71.6,21,2.6,49,6.1,149,18.5,395,49,411,51
26Q205,PS 205 ALEXANDER GRAHAM BELL,20102011,37.1,303,4,12.2,46,47,46,40,40,NA,NA,NA,NA,NA,NA,NA,131,43.2,15,5,46,15.2,107,35.3,166,54.8,137,45.2
26Q205,PS 205 ALEXANDER GRAHAM BELL,20112012,27.7,330,4.8,12.7,49,48,49,59,45,NA,NA,NA,NA,NA,NA,NA,143,43.3,18,5.5,54,16.4,109,33,172,52.1,158,47.9
