DBN,Name,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,grade1,grade2,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per
02M305,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,20102011,73.4,290,5.9,14.5,NA,NA,NA,NA,NA,NA,NA,NA,88,91,64,47,9,3.1,121,41.7,152,52.4,7,2.4,118,40.7,172,59.3
02M305,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,20112012,68.3,312,6.1,17,NA,NA,NA,NA,NA,NA,NA,NA,118,67,74,53,12,3.8,130,41.7,158,50.6,11,3.5,137,43.9,175,56.1
02M308,LOWER MANHATTAN ARTS ACADEMY,20102011,77,324,5.2,27.2,NA,NA,NA,NA,NA,NA,NA,NA,103,102,66,53,31,9.6,100,30.9,179,55.2,11,3.4,134,41.4,190,58.6
02M308,LOWER MANHATTAN ARTS ACADEMY,20112012,62.2,336,3.9,24.7,NA,NA,NA,NA,NA,NA,NA,NA,124,90,75,47,32,9.5,103,30.7,187,55.7,12,3.6,134,39.9,202,60.1
02M312,NYC LAB MS FOR COLL. STUDIES,20102011,33.4,562,0.5,11.4,NA,NA,NA,NA,NA,186,195,181,NA,NA,NA,NA,234,41.6,25,4.4,62,11,194,34.5,278,49.5,284,50.5
02M312,NYC LAB MS FOR COLL. STUDIES,20112012,29.2,575,0.2,11.8,NA,NA,NA,NA,NA,198,186,191,NA,NA,NA,NA,256,44.5,22,3.8,62,10.8,194,33.7,294,51.1,281,48.9
02M313,THE JAMES BALDWIN SCHOOL: A SCHOOL FOR EXPEDITIO,20102011,55.7,253,5.5,14.6,NA,NA,NA,NA,NA,NA,NA,NA,17,67,99,70,8,3.2,86,34,137,54.2,18,7.1,139,54.9,114,45.1
02M313,THE JAMES BALDWIN SCHOOL: A SCHOOL FOR EXPEDITIO,20112012,51,248,4.8,12.9,NA,NA,NA,NA,NA,NA,NA,NA,15,74,60,99,10,4,85,34.3,135,54.4,16,6.5,130,52.4,118,47.6
02M316,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG,20102011,86.7,369,4.3,19,NA,NA,NA,NA,NA,NA,NA,NA,136,105,64,64,9,2.4,161,43.6,183,49.6,5,1.4,NA,0,369,100
02M316,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG,20112012,74.9,378,2.6,15.6,NA,NA,NA,NA,NA,NA,NA,NA,129,118,77,54,13,3.4,177,46.8,183,48.4,5,1.3,0,0,378,100
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SC,20102011,87,224,3.6,41.5,13,9,10,21,14,18,25,16,NA,NA,NA,NA,13,5.8,43,19.2,102,45.5,58,25.9,108,48.2,116,51.8
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SC,20112012,76,215,9.3,32.6,23,12,10,11,19,16,18,27,NA,NA,NA,NA,9,4.2,47,21.9,104,48.4,49,22.8,107,49.8,108,50.2
02M374,GRAMERCY ARTS HIGH SCHOOL,20102011,66.9,461,2.8,11.7,NA,NA,NA,NA,NA,NA,NA,NA,165,145,85,66,11,2.4,216,46.9,197,42.7,33,7.2,139,30.2,322,69.8
02M374,GRAMERCY ARTS HIGH SCHOOL,20112012,59,495,3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,153,151,117,74,14,2.8,224,45.3,223,45.1,33,6.7,130,26.3,365,73.7
02M376,NYCISCHOOL,20102011,44.7,318,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,112,105,101,NA,37,11.6,65,20.4,142,44.7,73,23,151,47.5,167,52.5
02M376,NYCISCHOOL,20112012,34.6,433,0.5,10.9,NA,NA,NA,NA,NA,NA,NA,NA,118,114,104,97,50,11.5,89,20.6,186,43,104,24,211,48.7,222,51.3
02M392,MANHATTAN BUSINESS ACADEMY,20102011,74.6,212,6.6,16,NA,NA,NA,NA,NA,NA,NA,NA,113,99,NA,NA,16,7.5,68,32.1,111,52.4,16,7.5,116,54.7,96,45.3
02M392,MANHATTAN BUSINESS ACADEMY,20112012,64,332,9.9,13.9,NA,NA,NA,NA,NA,NA,NA,NA,148,91,93,NA,22,6.6,98,29.5,195,58.7,16,4.8,196,59,136,41
02M393,THE BUSINESS OF SPORTS SCHOOL,20102011,83.5,210,11,24.8,NA,NA,NA,NA,NA,NA,NA,NA,167,43,NA,NA,7,3.3,74,35.2,120,57.1,8,3.8,155,73.8,55,26.2
02M393,THE BUSINESS OF SPORTS SCHOOL,20112012,58.7,304,7.6,21.4,NA,NA,NA,NA,NA,NA,NA,NA,150,114,40,NA,5,1.6,108,35.5,174,57.2,13,4.3,220,72.4,84,27.6
02M394,EMMA LAZARUS HIGH SCHOOL,20102011,100,235,86,0,NA,NA,NA,NA,NA,NA,NA,NA,40,183,12,NA,142,60.4,13,5.5,73,31.1,7,3,123,52.3,112,47.7
02M394,EMMA LAZARUS HIGH SCHOOL,20112012,97,250,82.8,0,NA,NA,NA,NA,NA,NA,NA,NA,13,156,80,1,156,62.4,18,7.2,66,26.4,10,4,128,51.2,122,48.8
02M397,SPRUCE STREET SCHOOL,20102011,8.3,108,2.8,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,2,1.9,21,19.4,61,56.5,63,58.3,45,41.7
02M397,SPRUCE STREET SCHOOL,20112012,5.6,253,3.2,3.2,61,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,19.4,6,2.4,37,14.6,133,52.6,137,54.2,116,45.8
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,20102011,85,159,32.1,18.2,NA,NA,NA,NA,NA,NA,NA,NA,71,88,NA,NA,68,42.8,22,13.8,56,35.2,7,4.4,80,50.3,79,49.7
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,20112012,80.8,244,28.3,16.8,NA,NA,NA,NA,NA,NA,NA,NA,109,57,78,NA,108,44.3,38,15.6,80,32.8,13,5.3,117,48,127,52
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,20102011,55.9,1429,7.4,12.9,NA,NA,NA,NA,NA,NA,NA,NA,391,389,346,303,230,16.1,214,15,803,56.2,180,12.6,708,49.5,721,50.5
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,20112012,56.4,1394,7.1,14.4,NA,NA,NA,NA,NA,NA,NA,NA,398,383,314,299,233,16.7,206,14.8,797,57.2,155,11.1,703,50.4,691,49.6
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,20102011,15.4,493,0.2,8.7,NA,NA,NA,NA,NA,59,91,78,67,69,74,55,26,5.3,47,9.5,102,20.7,249,50.5,258,52.3,235,47.7
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,20112012,17.9,489,0.4,8.8,NA,NA,NA,NA,NA,61,64,93,63,71,73,64,31,6.3,50,10.2,86,17.6,267,54.6,270,55.2,219,44.8
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,20102011,27.8,495,1.8,3,NA,NA,NA,NA,NA,24,30,31,97,109,105,99,27,5.5,102,20.6,147,29.7,183,37,131,26.5,364,73.5
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,20112012,23.5,502,2,3.2,NA,NA,NA,NA,NA,28,27,32,94,103,112,106,35,7,96,19.1,119,23.7,210,41.8,127,25.3,375,74.7
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,20102011,62.2,438,1.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,111,120,101,106,265,60.5,29,6.6,50,11.4,94,21.5,186,42.5,252,57.5
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,20112012,54.6,432,1.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,110,108,118,96,262,60.6,25,5.8,63,14.6,81,18.8,190,44,242,56
02M412,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,20102011,23.8,524,1.1,12.8,NA,NA,NA,NA,NA,NA,NA,NA,130,125,134,135,145,27.7,42,8,75,14.3,258,49.2,256,48.9,268,51.1
02M412,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,20112012,21.6,579,1.6,15,NA,NA,NA,NA,NA,NA,NA,NA,187,127,132,133,170,29.4,49,8.5,81,14,266,45.9,272,47,307,53
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,20102011,41.4,676,0.9,16,NA,NA,NA,NA,NA,98,94,96,101,100,84,103,105,15.5,89,13.2,178,26.3,264,39.1,336,49.7,340,50.3
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,20112012,31,673,2.1,14.6,NA,NA,NA,NA,NA,98,102,93,107,107,87,79,108,16,83,12.3,175,26,256,38,342,50.8,331,49.2
02M414,NYC MUSEUM SCHOOL,20102011,47.4,440,0.9,11.1,NA,NA,NA,NA,NA,NA,NA,NA,109,130,106,95,147,33.4,62,14.1,158,35.9,72,16.4,188,42.7,252,57.3
02M414,NYC MUSEUM SCHOOL,20112012,51.6,436,0.5,9.4,NA,NA,NA,NA,NA,NA,NA,NA,106,99,127,104,144,33,51,11.7,174,39.9,67,15.4,185,42.4,251,57.6
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,20102011,16.7,499,0.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,127,120,139,113,98,19.6,37,7.4,50,10,312,62.5,166,33.3,333,66.7
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,20112012,15.8,507,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,120,130,120,137,87,17.2,28,5.5,59,11.6,323,63.7,165,32.5,342,67.5
02M418,MILLENNIUM HIGH SCHOOL,20102011,44.8,637,0,8.9,NA,NA,NA,NA,NA,NA,NA,NA,158,181,153,145,180,28.3,59,9.3,158,24.8,237,37.2,241,37.8,396,62.2
02M418,MILLENNIUM HIGH SCHOOL,20112012,32.7,626,0.2,9.1,NA,NA,NA,NA,NA,NA,NA,NA,144,155,180,147,188,30,55,8.8,136,21.7,225,35.9,239,38.2,387,61.8
02M419,LANDMARK HIGH SCHOOL,20102011,85.1,442,14.9,14.7,NA,NA,NA,NA,NA,NA,NA,NA,166,117,88,71,18,4.1,79,17.9,337,76.2,7,1.6,196,44.3,246,55.7
02M419,LANDMARK HIGH SCHOOL,20112012,83.1,421,15.7,18.8,NA,NA,NA,NA,NA,NA,NA,NA,142,125,76,78,22,5.2,76,18.1,315,74.8,8,1.9,204,48.5,217,51.5
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,20102011,81.4,1721,4.4,9.7,NA,NA,NA,NA,NA,NA,NA,NA,579,492,390,260,336,19.5,420,24.4,870,50.6,92,5.3,502,29.2,1219,70.8
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,20112012,68,1768,4,10.9,NA,NA,NA,NA,NA,NA,NA,NA,564,513,375,316,363,20.5,431,24.4,878,49.7,93,5.3,520,29.4,1248,70.6
02M422,QUEST TO LEARN,20102011,39.7,133,3,24.8,NA,NA,NA,NA,NA,66,67,NA,NA,NA,NA,NA,6,4.5,42,31.6,38,28.6,46,34.6,87,65.4,46,34.6
02M422,QUEST TO LEARN,20112012,40.6,232,2.2,22.8,NA,NA,NA,NA,NA,91,71,70,NA,NA,NA,NA,11,4.7,61,26.3,67,28.9,89,38.4,150,64.7,82,35.3
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,20102011,80.4,646,5.3,16.7,NA,NA,NA,NA,NA,NA,NA,NA,213,195,107,131,55,8.5,190,29.4,350,54.2,49,7.6,301,46.6,345,53.4
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,20112012,74.2,607,5.4,18.6,NA,NA,NA,NA,NA,NA,NA,NA,190,192,114,111,49,8.1,185,30.5,329,54.2,40,6.6,280,46.1,327,53.9
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,20102011,60,79,84.8,12.7,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,6,7.6,9,11.4,62,78.5,2,2.5,44,55.7,35,44.3
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,20112012,97.5,175,86.9,6.9,NA,NA,NA,NA,NA,NA,NA,NA,94,81,NA,NA,11,6.3,14,8,148,84.6,2,1.1,96,54.9,79,45.1
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,20102011,86.5,354,7.6,24.3,NA,NA,NA,NA,NA,NA,NA,NA,110,107,66,71,4,1.1,160,45.2,187,52.8,1,0.3,169,47.7,185,52.3
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,20112012,93.9,294,8.2,22.4,NA,NA,NA,NA,NA,NA,NA,NA,101,71,76,46,4,1.4,133,45.2,151,51.4,5,1.7,144,49,150,51
02M432,MURRAY HILL ACADEMY,20102011,60,141,9.2,22.7,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,12,8.5,65,46.1,54,38.3,8,5.7,80,56.7,61,43.3
02M432,MURRAY HILL ACADEMY,20112012,78,214,7.5,27.1,NA,NA,NA,NA,NA,NA,NA,NA,96,118,NA,NA,17,7.9,88,41.1,97,45.3,9,4.2,115,53.7,99,46.3
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,20102011,60,110,8.2,15.5,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,8,7.3,28,25.5,60,54.5,11,10,74,67.3,36,32.7
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,20112012,61.5,226,8.8,16.4,NA,NA,NA,NA,NA,NA,NA,NA,122,104,NA,NA,13,5.8,53,23.5,141,62.4,15,6.6,137,60.6,89,39.4
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,20102011,60,87,94.3,0,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,30,34.5,8,9.2,46,52.9,3,3.4,51,58.6,36,41.4
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,20112012,82.8,176,94.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,70,106,NA,NA,71,40.3,22,12.5,76,43.2,6,3.4,108,61.4,68,38.6
02M439,MANHATTAN VILLAGE ACADEMY,20102011,79.1,433,3.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,107,129,105,92,31,7.2,96,22.2,286,66.1,19,4.4,172,39.7,261,60.3
02M439,MANHATTAN VILLAGE ACADEMY,20112012,60.3,429,3.7,8.2,NA,NA,NA,NA,NA,NA,NA,NA,86,119,126,98,27,6.3,72,16.8,308,71.8,21,4.9,165,38.5,264,61.5
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,20102011,73.4,488,28.3,13.9,NA,NA,NA,NA,NA,NA,NA,NA,18,92,159,219,44,9,129,26.4,299,61.3,14,2.9,266,54.5,222,45.5
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,20112012,75.5,208,26,13.5,NA,NA,NA,NA,NA,NA,NA,NA,3,30,31,144,13,6.3,58,27.9,130,62.5,5,2.4,133,63.9,75,36.1
02M442,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE,20102011,61.1,148,4.1,0,NA,NA,NA,39,43,24,22,20,NA,NA,NA,NA,34,23,50,33.8,38,25.7,24,16.2,66,44.6,82,55.4
02M442,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE,20112012,50.7,154,2.6,1.3,NA,NA,NA,43,36,31,23,21,NA,NA,NA,NA,44,28.6,50,32.5,35,22.7,22,14.3,69,44.8,85,55.2
02M449,VANGUARD HIGH SCHOOL,20102011,79.7,428,6.5,18,NA,NA,NA,NA,NA,NA,NA,NA,147,120,92,69,40,9.3,115,26.9,255,59.6,15,3.5,195,45.6,233,54.4
02M449,VANGUARD HIGH SCHOOL,20112012,69.5,444,6.1,17.3,NA,NA,NA,NA,NA,NA,NA,NA,147,128,90,79,44,9.9,114,25.7,262,59,20,4.5,205,46.2,239,53.8
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,20102011,90.5,320,73.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,125,67,66,62,107,33.4,47,14.7,118,36.9,48,15,156,48.8,164,51.3
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,20112012,80.7,325,77.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,123,75,61,66,109,33.5,48,14.8,120,36.9,47,14.5,144,44.3,181,55.7
02M460,WASHINGTON IRVING HIGH SCHOOL,20102011,65.8,1231,20.1,16.1,NA,NA,NA,NA,NA,NA,NA,NA,357,347,301,226,59,4.8,404,32.8,738,60,26,2.1,571,46.4,660,53.6
02M460,WASHINGTON IRVING HIGH SCHOOL,20112012,66,1032,18.6,17.2,NA,NA,NA,NA,NA,NA,NA,NA,251,294,243,244,50,4.8,354,34.3,601,58.2,24,2.3,490,47.5,542,52.5
02M475,STUYVESANT HIGH SCHOOL,20102011,41.3,3287,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,842,855,811,779,2353,71.6,40,1.2,94,2.9,791,24.1,1934,58.8,1353,41.2
02M475,STUYVESANT HIGH SCHOOL,20112012,30.3,3297,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,813,827,848,809,2377,72.1,40,1.2,80,2.4,780,23.7,1956,59.3,1341,40.7
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,20102011,72.5,807,5.1,12.4,NA,NA,NA,NA,NA,NA,NA,NA,251,213,171,172,224,27.8,187,23.2,322,39.9,74,9.2,444,55,363,45
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,20112012,60.8,809,6.3,11.9,NA,NA,NA,NA,NA,NA,NA,NA,265,219,148,177,201,24.8,182,22.5,352,43.5,71,8.8,441,54.5,368,45.5
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,20102011,96,224,15.2,29.9,NA,NA,NA,NA,NA,NA,NA,NA,84,67,39,34,9,4,73,32.6,133,59.4,1,0.4,136,60.7,88,39.3
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,20112012,83.5,237,15.6,32.9,NA,NA,NA,NA,NA,NA,NA,NA,73,69,51,44,9,3.8,83,35,131,55.3,6,2.5,148,62.4,89,37.6
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLO,20112012,60,126,8.7,19.8,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,9,7.1,51,40.5,59,46.8,6,4.8,93,73.8,33,26.2
02M519,TALENT UNLIMITED HIGH SCHOOL,20102011,50,503,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,230,85,100,88,23,4.6,182,36.2,193,38.4,105,20.9,114,22.7,389,77.3
02M519,TALENT UNLIMITED HIGH SCHOOL,20112012,45.5,491,0.2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,103,217,80,91,22,4.5,177,36,193,39.3,97,19.8,105,21.4,386,78.6
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,20102011,68.4,2401,11.8,13.5,NA,NA,NA,NA,NA,NA,NA,NA,972,677,349,403,280,11.7,878,36.6,1176,49,60,2.5,1197,49.9,1204,50.1
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,20112012,72.7,2073,10.2,14.1,NA,NA,NA,NA,NA,NA,NA,NA,707,569,505,292,218,10.5,828,39.9,965,46.6,48,2.3,1017,49.1,1056,50.9
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,20102011,76.6,709,10.4,16.6,NA,NA,NA,NA,NA,NA,NA,NA,228,182,159,140,37,5.2,159,22.4,491,69.3,20,2.8,262,37,447,63
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,20112012,73,724,9.8,13.7,NA,NA,NA,NA,NA,NA,NA,NA,257,169,160,138,37,5.1,164,22.7,506,69.9,13,1.8,294,40.6,430,59.4
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,20102011,79.1,213,1.4,7,NA,NA,NA,NA,NA,NA,NA,NA,65,55,55,38,3,1.4,104,48.8,88,41.3,16,7.5,51,23.9,162,76.1
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,20112012,65.3,217,0.5,5.1,NA,NA,NA,NA,NA,NA,NA,NA,61,59,50,47,3,1.4,104,47.9,92,42.4,16,7.4,46,21.2,171,78.8
02M542,MANHATTAN BRIDGES HIGH SCHOOL,20102011,93.8,539,77.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA,178,159,112,90,0,0,0,0,538,99.8,0,0,270,50.1,269,49.9
02M542,MANHATTAN BRIDGES HIGH SCHOOL,20112012,83.5,541,72.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,149,168,138,86,1,0.2,0,0,540,99.8,0,0,278,51.4,263,48.6
02M543,NEW DESIGN HIGH SCHOOL,20102011,77.9,415,4.6,16.4,NA,NA,NA,NA,NA,NA,NA,NA,127,126,81,81,14,3.4,127,30.6,261,62.9,6,1.4,165,39.8,250,60.2
02M543,NEW DESIGN HIGH SCHOOL,20112012,66.1,423,5.4,17.5,NA,NA,NA,NA,NA,NA,NA,NA,128,110,104,81,16,3.8,128,30.3,263,62.2,11,2.6,162,38.3,261,61.7
02M544,INDEPENDENCE HIGH SCHOOL,20102011,79.1,419,5,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,115,167,19,4.5,143,34.1,246,58.7,10,2.4,199,47.5,220,52.5
02M544,INDEPENDENCE HIGH SCHOOL,20112012,74.4,391,3.8,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,104,187,17,4.3,131,33.5,233,59.6,8,2,200,51.2,191,48.8
02M545,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES,20102011,91.3,339,44.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,86,105,72,76,293,86.4,22,6.5,10,2.9,10,2.9,177,52.2,162,47.8
02M545,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES,20112012,82.6,353,38.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,94,100,83,76,316,89.5,12,3.4,14,4,8,2.3,181,51.3,172,48.7
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,20102011,94.9,399,91,2.8,NA,NA,NA,NA,NA,NA,NA,NA,124,126,72,77,116,29.1,71,17.8,157,39.3,50,12.5,231,57.9,168,42.1
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,20112012,79.5,397,90.2,2,NA,NA,NA,NA,NA,NA,NA,NA,116,96,108,77,102,25.7,79,19.9,167,42.1,47,11.8,242,61,155,39
02M551,NEW YORK HARBOR SCHOOL,20102011,85.5,417,5.3,17.5,NA,NA,NA,NA,NA,NA,NA,NA,139,110,97,71,7,1.7,161,38.6,218,52.3,30,7.2,251,60.2,166,39.8
02M551,NEW YORK HARBOR SCHOOL,20112012,73.5,430,4.2,17.9,NA,NA,NA,NA,NA,NA,NA,NA,127,126,94,83,10,2.3,161,37.4,212,49.3,44,10.2,262,60.9,168,39.1
02M560,HIGH SCHOOL M560  CITY AS SCHOOL,20102011,50,681,2.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,274,358,37,5.4,234,34.4,271,39.8,127,18.6,310,45.5,371,54.5
02M560,HIGH SCHOOL M560  CITY AS SCHOOL,20112012,38.1,605,1.3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,228,348,29,4.8,228,37.7,235,38.8,105,17.4,264,43.6,341,56.4
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,20102011,45.5,156,0.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,14,52,70,20,7,4.5,54,34.6,53,34,41,26.3,65,41.7,91,58.3
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,20112012,32.1,157,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,10,69,64,14,8,5.1,53,33.8,60,38.2,32,20.4,64,40.8,93,59.2
02M570,SATELLITE ACADEMY HIGH SCHOOL,20102011,81.4,274,2.2,11.3,NA,NA,NA,NA,NA,NA,NA,NA,132,73,55,14,4,1.5,88,32.1,170,62,9,3.3,116,42.3,158,57.7
02M570,SATELLITE ACADEMY HIGH SCHOOL,20112012,72.8,248,6.5,14.1,NA,NA,NA,NA,NA,NA,NA,NA,143,59,43,3,4,1.6,87,35.1,148,59.7,7,2.8,96,38.7,152,61.3
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOO,20102011,88.2,826,65.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,256,119,311,37.7,243,29.4,236,28.6,33,4,476,57.6,350,42.4
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOO,20112012,85.6,807,60,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,414,280,113,285,35.3,250,31,228,28.3,40,5,453,56.1,354,43.9
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,20102011,76,608,6.4,18.8,NA,NA,NA,NA,NA,NA,NA,NA,219,180,102,107,22,3.6,228,37.5,336,55.3,17,2.8,183,30.1,425,69.9
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,20112012,67,610,6.4,21.8,NA,NA,NA,NA,NA,NA,NA,NA,221,171,96,122,14,2.3,214,35.1,362,59.3,14,2.3,199,32.6,411,67.4
02M586,HARVEY MILK HIGH SCHOOL,20102011,84.5,74,2.7,25.7,NA,NA,NA,NA,NA,NA,NA,NA,6,23,30,15,3,4.1,30,40.5,36,48.6,4,5.4,45,60.8,29,39.2
02M586,HARVEY MILK HIGH SCHOOL,20112012,75.7,68,1.5,22.1,NA,NA,NA,NA,NA,NA,NA,NA,1,21,24,22,4,5.9,26,38.2,27,39.7,11,16.2,32,47.1,36,52.9
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,20102011,79.1,1634,2.9,11.1,NA,NA,NA,NA,NA,NA,NA,NA,446,454,415,319,67,4.1,657,40.2,828,50.7,71,4.3,127,7.8,1507,92.2
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,20112012,68.3,1599,2.8,11.5,NA,NA,NA,NA,NA,NA,NA,NA,449,431,388,331,60,3.8,626,39.1,836,52.3,66,4.1,116,7.3,1483,92.7
02M605,HUMANITIES PREPARATORY ACADEMY,20102011,55.5,192,0,12.5,NA,NA,NA,NA,NA,NA,NA,NA,44,55,27,66,14,7.3,36,18.8,110,57.3,28,14.6,82,42.7,110,57.3
02M605,HUMANITIES PREPARATORY ACADEMY,20112012,54,192,1,6.8,NA,NA,NA,NA,NA,NA,NA,NA,48,77,34,33,14,7.3,42,21.9,111,57.8,22,11.5,82,42.7,110,57.3
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHO,20102011,80.5,502,5,15.3,NA,NA,NA,NA,NA,NA,NA,NA,134,169,93,106,32,6.4,160,31.9,303,60.4,6,1.2,326,64.9,176,35.1
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHO,20112012,69.8,466,6.2,15.7,NA,NA,NA,NA,NA,NA,NA,NA,157,135,64,110,33,7.1,138,29.6,282,60.5,7,1.5,303,65,163,35
02M620,NORMAN THOMAS HIGH SCHOOL,20102011,76.8,1736,18.5,15,NA,NA,NA,NA,NA,NA,NA,NA,476,694,344,222,34,2,476,27.4,1193,68.7,28,1.6,891,51.3,845,48.7
02M620,NORMAN THOMAS HIGH SCHOOL,20112012,81.1,1127,19.3,15.5,NA,NA,NA,NA,NA,NA,NA,NA,168,462,280,217,18,1.6,289,25.6,796,70.6,22,2,586,52,541,48
