CSD,SCHOOL CODE,SCHOOL NAME,GRADE,PROGRAM TYPE,AVERAGE CLASS SIZE,SIZE OF LARGEST CLASS,SIZE OF SMALLEST CLASS
1,M015,P.S. 015 Roberto Clemente,0K,GEN ED,19,19,19
1,M019,P.S. 019 Asher Levy,0K,GEN ED,19.5,21,18
1,M020,P.S. 020 Anna Silver,0K,GEN ED,22.3,23,20
1,M034,P.S. 034 Franklin D. Roosevelt,0K,GEN ED,13,14,12
1,M063,P.S. 063 William McKinley,0K,GEN ED,14,14,14
1,M064,P.S. 064 Robert Simon,0K,GEN ED,23,23,23
1,M110,P.S. 110 Florence Nightingale,0K,GEN ED,22.5,25,20
1,M134,P.S. 134 Henrietta Szold,0K,GEN ED,18.3,19,17
1,M137,P.S. 137 John L. Bernstein,0K,GEN ED,21.5,23,20
1,M140,P.S. 140 Nathan Straus,0K,GEN ED,17,17,17
1,M142,P.S. 142 Amalia Castro,0K,GEN ED,21,23,19
1,M184,P.S. 184m Shuang Wen,0K,GEN ED,25.7,26,25
1,M188,P.S. 188 The Island School,0K,GEN ED,22,22,22
1,M292,Henry Street School for International Studies,09-12,GEN ED,21,25,19
1,M292,Henry Street School for International Studies,09-12,GEN ED,26.3,31,24
1,M292,Henry Street School for International Studies,09-12,GEN ED,19,22,16
1,M292,Henry Street School for International Studies,09-12,GEN ED,23,30,13
1,M292,Henry Street School for International Studies,09-12,GEN ED,17.7,21,16
1,M363,Neighborhood School,0K,GEN ED,15,22,11
1,M292,Henry Street School for International Studies,09-12,GEN ED,32,32,32
1,M292,Henry Street School for International Studies,09-12,GEN ED,19.7,27,13
1,M292,Henry Street School for International Studies,09-12,GEN ED,31.3,35,28
1,M292,Henry Street School for International Studies,09-12,GEN ED,29,29,29
1,M292,Henry Street School for International Studies,09-12,GEN ED,19.6,24,13
1,M292,Henry Street School for International Studies,09-12,GEN ED,13,13,13
1,M292,Henry Street School for International Studies,09-12,GEN ED,21.3,24,18
1,M292,Henry Street School for International Studies,09-12,GEN ED,22.3,31,10
1,M292,Henry Street School for International Studies,09-12,GEN ED,20.7,28,15
1,M292,Henry Street School for International Studies,09-12,SPEC ED,15,15,15
1,M292,Henry Street School for International Studies,09-12,SPEC ED,15,15,15
1,M292,Henry Street School for International Studies,09-12,SPEC ED,15,15,15
1,M292,Henry Street School for International Studies,09-12,SPEC ED,14,14,14
1,M315,The East Village Community School,0K,GEN ED,14,14,14
1,M332,University Neighborhood Middle School,09-12,GEN ED,20,20,20
1,M332,University Neighborhood Middle School,09-12,GEN ED,24,27,22
1,M332,University Neighborhood Middle School,09-12,SPEC ED,10.5,11,10
1,M332,University Neighborhood Middle School,09-12,SPEC ED,11,12,10
1,M361,The Children's Workshop School,0K,GEN ED,21.5,22,21
1,M364,Earth School,0K,GEN ED,20,21,19
1,M378,School for Global Leaders,09-12,GEN ED,33,33,33
1,M448,University Neighborhood High School,09-12,GEN ED,17.7,27,13
1,M448,University Neighborhood High School,09-12,GEN ED,16.6,26,10
1,M448,University Neighborhood High School,09-12,GEN ED,21.3,26,16
1,M448,University Neighborhood High School,09-12,GEN ED,20.3,29,13
1,M448,University Neighborhood High School,09-12,GEN ED,23.7,31,17
1,M448,University Neighborhood High School,09-12,GEN ED,18,18,18
1,M448,University Neighborhood High School,09-12,GEN ED,25,29,19
1,M448,University Neighborhood High School,09-12,GEN ED,25,25,25
1,M448,University Neighborhood High School,09-12,GEN ED,19,19,19
1,M448,University Neighborhood High School,09-12,GEN ED,26.4,32,24
1,M448,University Neighborhood High School,09-12,GEN ED,27,31,23
1,M448,University Neighborhood High School,09-12,GEN ED,23,23,23
1,M448,University Neighborhood High School,09-12,GEN ED,29,29,29
1,M448,University Neighborhood High School,09-12,GEN ED,19.8,27,12
1,M448,University Neighborhood High School,09-12,GEN ED,21.6,32,15
1,M448,University Neighborhood High School,09-12,GEN ED,22.3,29,16
1,M450,East Side Community School,09-12,GEN ED,25.5,28,23
1,M450,East Side Community School,09-12,GEN ED,22,23,20
1,M450,East Side Community School,09-12,GEN ED,19.8,22,19
1,M450,East Side Community School,09-12,GEN ED,17.5,18,17
1,M450,East Side Community School,09-12,GEN ED,17,22,11
1,M450,East Side Community School,09-12,GEN ED,24,25,23
1,M450,East Side Community School,09-12,GEN ED,21,21,21
1,M450,East Side Community School,09-12,GEN ED,20,20,20
1,M450,East Side Community School,09-12,GEN ED,22.7,26,17
1,M450,East Side Community School,09-12,GEN ED,23.5,24,23
1,M450,East Side Community School,09-12,GEN ED,23,24,22
1,M450,East Side Community School,09-12,GEN ED,19,21,17
1,M450,East Side Community School,09-12,GEN ED,21.7,27,17
1,M450,East Side Community School,09-12,GEN ED,19.3,20,19
1,M450,East Side Community School,09-12,GEN ED,22,22,22
1,M458,Forsyth Satellite Academy,09-12,GEN ED,25,25,25
1,M458,Forsyth Satellite Academy,09-12,GEN ED,28,30,26
1,M458,Forsyth Satellite Academy,09-12,GEN ED,25,25,25
1,M458,Forsyth Satellite Academy,09-12,GEN ED,15,15,15
1,M458,Forsyth Satellite Academy,09-12,GEN ED,22,22,22
1,M509,Marta Valle High School,09-12,GEN ED,22.3,27,13
1,M509,Marta Valle High School,09-12,GEN ED,20.3,27,17
1,M509,Marta Valle High School,09-12,GEN ED,25.5,26,25
1,M509,Marta Valle High School,09-12,GEN ED,21,23,20
1,M509,Marta Valle High School,09-12,GEN ED,21.3,29,12
1,M509,Marta Valle High School,09-12,GEN ED,19,24,13
1,M509,Marta Valle High School,09-12,GEN ED,24,27,21
1,M509,Marta Valle High School,09-12,GEN ED,33,33,33
1,M509,Marta Valle High School,09-12,GEN ED,29.3,33,27
1,M509,Marta Valle High School,09-12,GEN ED,12,12,12
1,M509,Marta Valle High School,09-12,GEN ED,29.5,30,29
1,M509,Marta Valle High School,09-12,GEN ED,22.8,35,14
1,M509,Marta Valle High School,09-12,GEN ED,24,28,20
1,M509,Marta Valle High School,09-12,GEN ED,26,29,24
1,M509,Marta Valle High School,09-12,SPEC ED,6,6,6
1,M509,Marta Valle High School,09-12,SPEC ED,8,8,8
1,M509,Marta Valle High School,09-12,SPEC ED,7,9,5
1,M509,Marta Valle High School,09-12,SPEC ED,6,6,6
1,M509,Marta Valle High School,09-12,SPEC ED,8,8,8
1,M509,Marta Valle High School,09-12,SPEC ED,8,8,8
1,M509,Marta Valle High School,09-12,SPEC ED,8,8,8
1,M509,Marta Valle High School,09-12,SPEC ED,6,6,6
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,27.7,33,19
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,25,31,16
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,20.8,30,10
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,19,24,10
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,21.8,34,16
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,26.7,33,13
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,24.3,31,16
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,22.3,26,18
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,23,23,23
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,21.4,31,15
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,19.8,28,10
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,13,14,12
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,27.9,33,21
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,28,32,19
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,17.5,22,13
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,21.7,28,17
1,M515,Lower East Side Preparatory High School,09-12,GEN ED,29,33,20
1,M539,"New Explorations into Science, Technology and Math High School",0K,GEN ED,25.5,26,25
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,21.8,31,16
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,30.6,34,21
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,27.7,34,23
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,25.4,34,19
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,12.5,13,12
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,25.1,32,15
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,28.4,34,22
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,26.3,34,20
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,22.8,28,16
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,28.8,31,24
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,25.4,31,18
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,24.9,29,17
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,21,33,14
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,19.8,34,12
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,26.7,34,14
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,29,33,24
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,33.5,34,33
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,30.5,34,27
1,M539,"New Explorations into Science, Technology and Math High School",09-12,GEN ED,24.5,26,23
1,M650,Cascades High School,09-12,GEN ED,25,25,25
1,M650,Cascades High School,09-12,GEN ED,23,25,19
1,M650,Cascades High School,09-12,GEN ED,20,28,12
1,M650,Cascades High School,09-12,GEN ED,18.7,21,17
1,M650,Cascades High School,09-12,GEN ED,20,25,15
1,M650,Cascades High School,09-12,GEN ED,22,28,13
1,M650,Cascades High School,09-12,GEN ED,20,24,16
1,M650,Cascades High School,09-12,GEN ED,18.5,20,17
1,M650,Cascades High School,09-12,GEN ED,26,26,26
1,M650,Cascades High School,09-12,GEN ED,19.3,22,15
1,M650,Cascades High School,09-12,GEN ED,22.5,23,22
1,M650,Cascades High School,09-12,GEN ED,24.7,29,22
1,M650,Cascades High School,09-12,GEN ED,25.5,28,24
1,M650,Cascades High School,09-12,GEN ED,26,32,23
1,M650,Cascades High School,09-12,GEN ED,25.3,28,21
1,M650,Cascades High School,09-12,GEN ED,12,12,12
1,M696,Bard High School Early College,09-12,GEN ED,21.1,26,15
1,M696,Bard High School Early College,09-12,GEN ED,20.6,24,17
1,M696,Bard High School Early College,09-12,GEN ED,23.5,26,22
1,M696,Bard High School Early College,09-12,GEN ED,24,26,21
1,M696,Bard High School Early College,09-12,GEN ED,19.2,25,15
1,M696,Bard High School Early College,09-12,GEN ED,23,24,22
1,M696,Bard High School Early College,09-12,GEN ED,20.1,24,15
1,M696,Bard High School Early College,09-12,GEN ED,22.9,25,17
1,M696,Bard High School Early College,09-12,GEN ED,21.6,24,18
1,M696,Bard High School Early College,09-12,GEN ED,16.9,18,15
1,M696,Bard High School Early College,09-12,GEN ED,21.9,25,18
1,M696,Bard High School Early College,09-12,GEN ED,16.9,24,11
2,M001,P.S. 001 Alfred E. Smith,0K,GEN ED,21.7,23,21
2,M002,P.S. 002 Meyer London,0K,GEN ED,20.4,22,19
2,M006,P.S. 006 Lillie D. Blake,0K,GEN ED,26.6,27,26
2,M011,P.S. 011 William T. Harris,0K,GEN ED,21,21,21
2,M011,P.S. 011 William T. Harris,0K,G&T,21,21,21
2,M033,P.S. 033 Chelsea Prep,0K,GEN ED,22,22,22
2,M033,P.S. 033 Chelsea Prep,0K,G&T,20,20,20
2,M040,P.S. 040 Augustus Saint-Gaudens,0K,GEN ED,23,24,21
2,M041,P.S. 041 Greenwich Village,0K,GEN ED,22.2,23,21
2,M042,P.S. 042 Benjamin Altman,0K,GEN ED,22,24,20
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,16,16,16
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,15,19,11
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,13,13,13
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,21,21,21
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,15,17,13
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,16,17,15
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,13,13,13
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,13.5,17,10
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,16,16,16
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,17,17,17
2,M047,47 The American Sign Language and English Secondary School,09-12,GEN ED,21.3,22,21
2,M047,47 The American Sign Language and English Secondary School,09-12,SPEC ED,10,10,10
2,M047,47 The American Sign Language and English Secondary School,09-12,SPEC ED,10,10,10
2,M051,P.S. 051 Elias Howe,0K,GEN ED,24,24,24
2,M059,P.S. 059 Beekman Hill International,0K,GEN ED,25,25,25
2,M077,P.S. 77 Lower Lab School,0K,G&T,25,25,25
2,M089,P.S. 89,0K,GEN ED,24.5,25,24
2,M104,J.H.S. 104 Simon Baruch,09-12,GEN ED,17.5,20,13
2,M104,J.H.S. 104 Simon Baruch,09-12,GEN ED,25,33,17
2,M111,P.S. 111 Adolph S. Ochs,0K,GEN ED,19.5,20,19
2,M116,P.S. 116 Mary Lindley Murray,0K,GEN ED,21.6,22,21
2,M124,P.S. 124 Yung Wing,0K,GEN ED,24.8,25,24
2,M124,P.S. 124 Yung Wing,0K,G&T,24,24,24
2,M126,P.S. 126 Jacob August Riis,0K,GEN ED,23,24,22
2,M126,P.S. 126 Jacob August Riis,09-12,GEN ED,27.8,30,25
2,M126,P.S. 126 Jacob August Riis,09-12,GEN ED,27.8,30,25
2,M130,P.S. 130 Hernando De Soto,0K,GEN ED,22.8,23,22
2,M130,P.S. 130 Hernando De Soto,0K,G&T,28,28,28
2,M131,M.S. 131,09-12,GEN ED,10,10,10
2,M131,M.S. 131,09-12,GEN ED,18,18,18
2,M131,M.S. 131,09-12,GEN ED,14,16,12
2,M150,P.S. 150,0K,GEN ED,27,27,27
2,M151,Yorkville Community School,0K,GEN ED,21.7,23,21
2,M158,P.S. 158 Bayard Taylor,0K,GEN ED,25,26,24
2,M183,P.S. 183 Robert L. Stevenson,0K,GEN ED,24.5,25,24
2,M198,P.S. 198 Isador E. Ida Straus,0K,GEN ED,20,20,20
2,M198,P.S. 198 Isador E. Ida Straus,0K,G&T,14.3,18,12
2,M212,P.S. 212 Midtown West,0K,GEN ED,27.5,28,27
2,M217,P.S./I.S. 217 Roosevelt Island,0K,GEN ED,21.5,22,21
2,M217,P.S./I.S. 217 Roosevelt Island,0K,G&T,16,16,16
2,M225,Ella Baker School,0K,GEN ED,17.5,19,16
2,M234,P.S. 234 Independence School,0K,GEN ED,24,25,23
2,M255,M.S. 255 Salk School of Science,09-12,GEN ED,31,31,31
2,M267,P.S. 267,0K,GEN ED,15,16,14
2,M276,BATTERY PARK CITY SCHOOL,0K,GEN ED,23.3,25,22
2,M288,Food and Finance High School,09-12,GEN ED,21.5,23,19
2,M288,Food and Finance High School,09-12,GEN ED,19,26,15
2,M288,Food and Finance High School,09-12,GEN ED,20.3,28,16
2,M288,Food and Finance High School,09-12,GEN ED,26.5,31,22
2,M288,Food and Finance High School,09-12,GEN ED,23.8,27,19
2,M288,Food and Finance High School,09-12,GEN ED,14.5,15,14
2,M288,Food and Finance High School,09-12,GEN ED,21,27,17
2,M288,Food and Finance High School,09-12,GEN ED,22.7,25,19
2,M288,Food and Finance High School,09-12,GEN ED,32.5,33,32
2,M288,Food and Finance High School,09-12,GEN ED,24.7,29,20
2,M288,Food and Finance High School,09-12,GEN ED,19.7,24,13
2,M288,Food and Finance High School,09-12,GEN ED,26,26,26
2,M290,P.S. 290 Manhattan New School,0K,GEN ED,24.3,25,23
2,M294,Essex Street Academy,09-12,GEN ED,11.3,13,10
2,M294,Essex Street Academy,09-12,GEN ED,10.4,11,10
2,M294,Essex Street Academy,09-12,GEN ED,14.3,16,12
2,M294,Essex Street Academy,09-12,GEN ED,11.3,13,10
2,M294,Essex Street Academy,09-12,GEN ED,10,10,10
2,M294,Essex Street Academy,09-12,GEN ED,17.8,20,15
2,M294,Essex Street Academy,09-12,GEN ED,15.8,23,10
2,M294,Essex Street Academy,09-12,GEN ED,21.2,24,17
2,M294,Essex Street Academy,09-12,GEN ED,16.7,21,12
2,M294,Essex Street Academy,09-12,GEN ED,17.2,21,14
2,M294,Essex Street Academy,09-12,GEN ED,18.5,24,15
2,M294,Essex Street Academy,09-12,GEN ED,11.1,13,10
2,M294,Essex Street Academy,09-12,GEN ED,13.7,16,11
2,M294,Essex Street Academy,09-12,GEN ED,19.3,25,16
2,M296,High School of Hospitality Management,09-12,GEN ED,18,27,12
2,M296,High School of Hospitality Management,09-12,GEN ED,25,30,11
2,M296,High School of Hospitality Management,09-12,GEN ED,22.3,27,16
2,M296,High School of Hospitality Management,09-12,GEN ED,23,28,18
2,M296,High School of Hospitality Management,09-12,GEN ED,22.6,25,18
2,M296,High School of Hospitality Management,09-12,GEN ED,23.7,30,11
2,M296,High School of Hospitality Management,09-12,GEN ED,27.5,30,25
2,M296,High School of Hospitality Management,09-12,GEN ED,16.8,18,15
2,M296,High School of Hospitality Management,09-12,GEN ED,23.3,30,12
2,M296,High School of Hospitality Management,09-12,GEN ED,19.3,25,13
2,M296,High School of Hospitality Management,09-12,GEN ED,28.2,32,15
2,M296,High School of Hospitality Management,09-12,GEN ED,17.3,25,11
2,M296,High School of Hospitality Management,09-12,GEN ED,25,27,23
2,M296,High School of Hospitality Management,09-12,GEN ED,29.5,32,27
2,M298,Pace High School,09-12,GEN ED,15,17,13
2,M298,Pace High School,09-12,GEN ED,25,25,25
2,M298,Pace High School,09-12,GEN ED,22.6,27,20
2,M298,Pace High School,09-12,GEN ED,23,23,23
2,M298,Pace High School,09-12,GEN ED,12.5,14,11
2,M298,Pace High School,09-12,GEN ED,22.5,29,12
2,M298,Pace High School,09-12,GEN ED,28,29,27
2,M298,Pace High School,09-12,GEN ED,18.8,33,12
2,M298,Pace High School,09-12,GEN ED,20.7,23,19
2,M298,Pace High School,09-12,GEN ED,28,28,28
2,M298,Pace High School,09-12,GEN ED,22.8,29,14
2,M298,Pace High School,09-12,GEN ED,24,24,24
2,M298,Pace High School,09-12,GEN ED,16.9,26,10
2,M298,Pace High School,09-12,GEN ED,26.2,33,18
2,M298,Pace High School,09-12,GEN ED,22,28,19
2,M298,Pace High School,09-12,GEN ED,13,13,13
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,18.8,22,16
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,31,31,31
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,31,31,31
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,18,28,10
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,20.5,27,16
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,22,26,18
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,16,21,11
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,18.3,28,10
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,18.3,25,10
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,28.5,36,21
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,25,28,23
2,M300,"Urban Assembly School of Design and Construction, The",09-12,GEN ED,24.3,28,21
2,M303,"Facing History School, The",09-12,GEN ED,24.3,29,16
2,M303,"Facing History School, The",09-12,GEN ED,25.5,27,24
2,M303,"Facing History School, The",09-12,GEN ED,20.8,32,16
2,M303,"Facing History School, The",09-12,GEN ED,14.5,19,10
2,M303,"Facing History School, The",09-12,GEN ED,28,28,28
2,M303,"Facing History School, The",09-12,GEN ED,27,27,27
2,M303,"Facing History School, The",09-12,GEN ED,21.3,32,15
2,M303,"Facing History School, The",09-12,GEN ED,17,17,17
2,M303,"Facing History School, The",09-12,GEN ED,20.8,27,15
2,M303,"Facing History School, The",09-12,GEN ED,25,25,25
2,M303,"Facing History School, The",09-12,GEN ED,18.8,27,15
2,M303,"Facing History School, The",09-12,GEN ED,19.2,24,14
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,21.3,24,20
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,23.6,26,19
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,23,24,22
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,24,24,24
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,18.5,22,15
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,20,25,15
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,19.5,26,13
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,24,24,24
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,21.4,25,18
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,24,32,16
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,15.5,16,15
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,19.8,23,17
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,22.3,25,18
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,24.5,29,20
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,15,15,15
2,M305,"Urban Assembly Academy of Government and Law, The",09-12,GEN ED,16.4,24,11
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,25.5,27,24
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,24,25,23
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,26.5,29,24
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,11.6,15,10
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,22.7,31,14
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,16.3,22,12
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,26.7,29,24
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,26.7,29,24
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,21.5,22,21
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,27,27,27
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,24,27,22
2,M308,Lower Manhattan Arts Academy,09-12,GEN ED,26.5,29,24
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,21.3,25,18
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,17,17,17
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,24.5,28,21
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,25,25,25
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,18,18,18
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,22.5,27,18
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,21,21,21
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,24.5,25,24
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,25.5,27,24
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,20,20,20
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,20.6,26,15
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,23,28,18
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,21,22,20
2,M313,"James Baldwin School, The: A School for Expeditionary Learning",09-12,GEN ED,23,28,18
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,26.5,28,24
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,22.5,23,22
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,30,30,30
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,26,26,26
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,26.3,28,23
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,21.5,22,21
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,28.7,31,25
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,24.9,28,22
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,26.4,31,10
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,25,28,21
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,31,31,31
2,M316,"Urban Assembly School of Business for Young Women, the",09-12,GEN ED,27,27,27
2,M374,Gramercy Arts High School,09-12,GEN ED,31,33,28
2,M374,Gramercy Arts High School,09-12,GEN ED,24.5,28,17
2,M374,Gramercy Arts High School,09-12,GEN ED,26.7,31,21
2,M374,Gramercy Arts High School,09-12,GEN ED,28,28,28
2,M374,Gramercy Arts High School,09-12,GEN ED,26,31,22
2,M374,Gramercy Arts High School,09-12,GEN ED,29.8,32,28
2,M374,Gramercy Arts High School,09-12,GEN ED,26,26,26
2,M374,Gramercy Arts High School,09-12,GEN ED,27,32,22
2,M374,Gramercy Arts High School,09-12,GEN ED,30.5,34,27
2,M374,Gramercy Arts High School,09-12,GEN ED,29,29,29
2,M374,Gramercy Arts High School,09-12,GEN ED,30,33,27
2,M374,Gramercy Arts High School,09-12,GEN ED,27.4,33,12
2,M374,Gramercy Arts High School,09-12,GEN ED,23,33,14
2,M374,Gramercy Arts High School,09-12,GEN ED,22,25,19
2,M376,NYC iSchool,09-12,GEN ED,33.9,49,21
2,M376,NYC iSchool,09-12,GEN ED,28,41,15
2,M376,NYC iSchool,09-12,GEN ED,18.8,26,12
2,M376,NYC iSchool,09-12,GEN ED,35.7,67,19
2,M376,NYC iSchool,09-12,GEN ED,95,95,95
2,M376,NYC iSchool,09-12,GEN ED,26.3,51,14
2,M376,NYC iSchool,09-12,GEN ED,23.5,35,12
2,M376,NYC iSchool,09-12,GEN ED,50.5,76,25
2,M376,NYC iSchool,09-12,GEN ED,20,25,13
2,M376,NYC iSchool,09-12,GEN ED,29.1,52,11
2,M376,NYC iSchool,09-12,GEN ED,34.5,55,14
2,M376,NYC iSchool,09-12,GEN ED,61,61,61
2,M376,NYC iSchool,09-12,GEN ED,25,26,24
2,M392,MANHATTAN BUSINESS ACADEMY,09-12,GEN ED,25.5,27,24
2,M392,MANHATTAN BUSINESS ACADEMY,09-12,GEN ED,25,27,23
2,M392,MANHATTAN BUSINESS ACADEMY,09-12,GEN ED,25.5,27,24
2,M392,MANHATTAN BUSINESS ACADEMY,09-12,GEN ED,25,27,23
2,M392,MANHATTAN BUSINESS ACADEMY,09-12,GEN ED,25,27,23
2,M392,MANHATTAN BUSINESS ACADEMY,09-12,GEN ED,25.5,27,24
2,M392,MANHATTAN BUSINESS ACADEMY,09-12,GEN ED,25.3,27,23
2,M393,BUSINESS OF SPORTS SCHOOL,09-12,GEN ED,26.3,27,26
2,M393,BUSINESS OF SPORTS SCHOOL,09-12,GEN ED,20.7,25,16
2,M393,BUSINESS OF SPORTS SCHOOL,09-12,GEN ED,19.8,27,11
2,M393,BUSINESS OF SPORTS SCHOOL,09-12,GEN ED,21.7,28,16
2,M393,BUSINESS OF SPORTS SCHOOL,09-12,GEN ED,20.3,24,16
2,M393,BUSINESS OF SPORTS SCHOOL,09-12,GEN ED,22.6,27,12
2,M393,BUSINESS OF SPORTS SCHOOL,09-12,GEN ED,23.5,27,16
2,M394,EMMA LAZARUS HIGH SCHOOL,09-12,GEN ED,22.3,31,11
2,M394,EMMA LAZARUS HIGH SCHOOL,09-12,GEN ED,23.8,32,16
